,id,brand_id,forum_topic_id,organization_id,problem_id,requester_id,submitter_id,created_at,description,due,external_id,followup_ids,priority,public,recipient,status,subject,type,updated_at,via_channel,via_followup_source_id,merged_ticket_ids
0,1,514,3,3,514,286,287,2021-04-26 19:55:57,Voluptatem voluptatem quiquia velit tempora amet. Velit dolorem adipisci modi ut amet velit dolorem. Tempora quiquia neque dolor quiquia dolor. Neque eius dolorem quiquia velit dolor aliquam non. Ut modi sed magnam quaerat ipsum ut.,2021-08-05 18:20:16,,,low,True,benjamin15@gmail.com,solved,Ipsum tempora dolor magnam consectetur est velit. Porro numquam aliquam tempora. Porro velit dolor sit tempora modi labore labore. Aliquam numquam est porro dolore eius sed ipsum. Dolorem labore dolore sed dolorem. Quiquia eius quisquam aliquam.,incident,2021-07-16 12:52:06,mail,,
1,2,514,4,2,514,251,787,2022-09-30 07:42:34,Dolor velit porro magnam non dolor. Velit quisquam labore amet adipisci. Neque sed sed numquam dolor. Est magnam dolorem numquam. Non quaerat quisquam quisquam dolore non. Sed quiquia sed quiquia sit dolor. Eius adipisci dolor tempora.,2023-03-04 15:57:26,,,low,False,ldavies@hotmail.com,on-hold,Dolor velit numquam quiquia tempora sit dolore. Voluptatem sit etincidunt est quisquam voluptatem ipsum dolor. Est ut ut dolore consectetur voluptatem sed. Quisquam velit voluptatem non porro. Est sit neque porro sed labore consectetur magnam. Dolorem amet quiquia consectetur numquam dolorem voluptatem. Amet numquam amet porro etincidunt velit magnam. Quaerat magnam etincidunt voluptatem voluptatem sed est sit.,incident,2023-01-15 10:53:45,chat,,
2,3,514,2,3,514,156,619,2022-06-07 20:53:52,Amet labore eius etincidunt ut est dolorem. Ut tempora sed dolorem. Voluptatem dolorem ut adipisci adipisci quisquam aliquam sit. Modi labore neque quaerat dolore aliquam velit est. Modi labore quiquia magnam consectetur quiquia adipisci. Adipisci voluptatem dolore quaerat quaerat quisquam quisquam. Magnam dolorem dolore adipisci dolorem sit eius.,2023-05-12 16:43:26,,,high,False,cobbautumn@gmail.com,pending,Porro porro labore eius. Quisquam sed dolor modi. Quisquam numquam est numquam est velit aliquam neque. Est sit sed sit dolorem quaerat non. Quiquia ut ut ipsum est. Adipisci quiquia velit ipsum dolor numquam quiquia sed. Tempora adipisci eius ut porro eius ipsum dolorem. Numquam amet modi velit quaerat quaerat dolore. Quiquia ut quaerat numquam dolorem. Aliquam porro quaerat adipisci eius ipsum.,problem,2023-03-20 20:07:04,web_form,,
3,4,514,1,2,514,744,17,2022-09-12 13:00:44,Eius quisquam numquam aliquam consectetur. Velit aliquam tempora voluptatem. Velit dolorem labore dolor labore non amet. Dolore velit tempora sed quaerat modi labore. Est consectetur quiquia sit tempora consectetur amet etincidunt.,2022-09-24 14:27:06,,,urgent,False,rparker@gmail.com,new,Neque consectetur porro dolor. Quiquia dolore eius consectetur voluptatem. Consectetur labore aliquam quaerat ipsum aliquam aliquam dolorem. Modi voluptatem ipsum adipisci aliquam quiquia quaerat. Velit numquam sed numquam velit labore consectetur dolore.,problem,2023-08-25 17:31:45,helpcenter,,
4,5,514,5,1,514,796,888,2022-06-15 03:55:44,Etincidunt sit dolore quiquia consectetur. Porro quaerat est etincidunt ut. Non aliquam tempora velit sit eius. Ut tempora quaerat ipsum ipsum. Ut modi aliquam sit dolorem dolorem est. Amet aliquam sit aliquam quisquam dolor. Amet dolorem quiquia consectetur neque amet aliquam tempora. Est quaerat voluptatem est velit consectetur. Eius neque ipsum non etincidunt etincidunt est. Labore tempora est magnam quaerat est etincidunt etincidunt.,2023-02-26 01:51:40,,,high,False,kenneth00@ball-escobar.com,open,Dolore ipsum neque labore dolorem eius adipisci dolor. Dolorem labore quiquia velit. Amet modi etincidunt etincidunt velit velit eius dolor. Velit adipisci quaerat dolor numquam velit. Porro sit aliquam ipsum modi dolore. Velit tempora tempora labore magnam numquam numquam adipisci. Tempora sed adipisci velit modi quaerat non aliquam.,task,2023-05-12 22:33:44,chat,,
5,6,514,1,4,514,30,338,2021-12-23 09:33:50,Amet aliquam aliquam voluptatem est ut. Sit voluptatem porro sit quaerat. Sed ipsum ipsum velit. Dolore est eius quaerat. Tempora est quiquia labore. Modi eius modi etincidunt. Porro est amet quiquia numquam sed neque. Est quisquam porro adipisci dolore. Dolore dolore magnam labore non voluptatem.,2022-07-26 13:41:34,,,high,False,courtney23@evans.com,new,Dolorem amet consectetur est. Dolor quaerat numquam dolorem amet dolore. Est magnam numquam voluptatem voluptatem. Non non sed dolore. Eius est quisquam dolorem numquam. Amet aliquam sit dolore etincidunt velit. Magnam est tempora amet. Sed magnam ipsum sit aliquam modi sed.,incident,2022-04-20 12:26:49,helpcenter,,
6,7,514,1,4,514,127,204,2021-01-22 14:15:40,Non dolore velit tempora porro. Consectetur dolor non ipsum sit. Eius sed ut eius ipsum adipisci. Ut amet non non modi quiquia labore ipsum. Porro ut dolor dolorem numquam quaerat dolore est. Ut porro quaerat eius. Etincidunt voluptatem magnam modi. Neque etincidunt neque ut magnam labore sed sed. Etincidunt consectetur etincidunt ut labore sit ipsum voluptatem.,2021-10-24 01:29:11,,,normal,True,wooddaniel@gmail.com,on-hold,Ipsum tempora amet velit dolore adipisci porro amet. Labore tempora dolor etincidunt quiquia. Quiquia sit etincidunt ut dolorem ipsum. Dolorem velit tempora etincidunt velit consectetur consectetur. Ut dolor quisquam porro dolore porro. Ipsum quiquia ut labore velit est quiquia est. Sed eius numquam amet. Voluptatem numquam velit etincidunt. Magnam quisquam non dolore dolorem quaerat modi. Numquam quaerat voluptatem etincidunt sed quisquam quiquia.,problem,2022-01-21 08:22:24,web_form,,
7,8,514,1,5,514,73,10,2021-05-02 16:46:05,Numquam magnam adipisci ipsum tempora quiquia. Dolor amet consectetur quaerat numquam non dolore. Dolorem aliquam quaerat tempora aliquam dolor voluptatem non. Non consectetur amet dolore consectetur dolore labore. Ipsum porro dolore consectetur. Quiquia non tempora ut etincidunt est tempora etincidunt. Eius dolore amet ipsum. Modi tempora eius dolore quisquam est. Sit neque adipisci consectetur adipisci dolorem sit. Sed etincidunt magnam neque neque.,2021-06-19 03:05:34,,,low,False,leahbrady@mccarty.info,solved,Voluptatem quiquia sed labore neque quaerat. Eius quiquia etincidunt modi sit labore. Modi dolor amet voluptatem magnam porro eius dolor. Non magnam ipsum neque. Est adipisci sed dolorem sit sed eius. Quisquam consectetur velit non.,task,2022-01-25 05:11:57,chat,,
8,9,514,5,4,514,76,906,2021-08-02 10:54:28,Neque velit velit ut ipsum etincidunt magnam. Magnam aliquam consectetur porro etincidunt quaerat. Sed dolor quaerat voluptatem sit quaerat eius. Modi neque dolorem est tempora modi numquam quisquam. Ipsum quiquia aliquam aliquam. Sed etincidunt est dolore quaerat dolore magnam numquam.,2022-05-24 07:34:14,,,normal,False,johnsontimothy@barrett-cook.com,new,Dolore quisquam sed aliquam aliquam consectetur. Dolorem magnam dolore quaerat magnam tempora quisquam labore. Numquam neque sed neque magnam aliquam neque. Labore eius ipsum amet. Dolorem porro etincidunt tempora. Consectetur quiquia dolore ipsum tempora numquam velit. Labore aliquam dolorem est.,task,2021-08-31 08:26:36,chat,,
9,10,514,5,4,514,98,731,2021-03-20 12:25:53,Labore sit voluptatem quaerat dolore quisquam tempora dolor. Porro dolor neque dolore tempora dolor modi. Modi ut velit tempora quaerat velit consectetur. Dolor amet dolore tempora quaerat adipisci est. Porro sit eius sit numquam modi.,2022-02-09 17:45:43,,,normal,False,pamlandry@hotmail.com,open,Quisquam consectetur neque dolorem modi dolore ut porro. Adipisci est eius aliquam consectetur consectetur eius etincidunt. Eius voluptatem modi adipisci adipisci ut. Dolore numquam dolorem numquam numquam. Etincidunt velit consectetur modi dolore quaerat. Quaerat porro magnam ut ut quaerat labore adipisci. Velit modi est sed quisquam labore voluptatem. Dolore dolor sit dolor labore. Labore consectetur neque non ut voluptatem quaerat tempora.,problem,2021-08-04 09:23:09,facebook_message,,
